company_name,company_rating,industry,size,type,years_old,location
Advantmed,3.6,Software Product,501-1k Employees,,19,Ahmedabad
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Ahmedabad
Ford Motor,4.5,Automobile,5k-10k Employees,Public,121,Ahmedabad
eClinicalWorks,3.9,Software Product,1k-5k Employees,,25,Ahmedabad
Eris Lifesciences,3.8,Pharma,1k-5k Employees,Public,17,Ahmedabad
Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,25,Ahmedabad
Dishman Carbogen Amcis,3.8,Healthcare,1k-5k Employees,,17,Ahmedabad
Honda Motorcycle & Scooter,4.1,Automobile,10k-50k Employees,,23,Indore
Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Indore
Baxter International,4.1,Healthcare,1k-5k Employees,Forbes Global 2000,93,Ahmedabad
Medusind Solutions,3.9,IT Services & Consulting,1k-5k Employees,,22,Ahmedabad
Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47,Indore
Veeda Clinical Research,4.1,Clinical Research,501-1k Employees,,20,Ahmedabad
Entigrity Solutions,4.2,Recruitment,1k-5k Employees,,9,Indore
Harsha Engineers,4.2,Auto Components,1k-5k Employees,,38,Ahmedabad
IMS People,3.5,Recruitment,1k-5k Employees,,18,Indore
Adani Green Energy,4.2,Power,1k-5k Employees,Fortune India 500,9,Indore
Adani Power,3.9,Power,1k-5k Employees,Public,18,Mundra
Astral Pipe,4.3,Building Material,1-10 Employees,Fortune India 500,,Indore
Cygnet Infotech,3.7,IT Services & Consulting,1k-5k Employees,,24,Ahmedabad
Mastek,3.7,IT Services & Consulting,1k-5k Employees,Public,42,Ahmedabad
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Indore
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Indore
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Indore
Hitech Digital Solutions,4.1,IT Services & Consulting,1k-5k Employees,,32,Ahmedabad
Ascendum KPS,4.2,,1k-5k Employees,,23,Indore
Paperchase Accountancy,3.2,,1k-5k Employees,,35,Ahmedabad
Nirma,4.3,FMCG,10k-50k Employees,Fortune India 500,34,Ahmedabad
LendingKart,3.2,NBFC,1k-5k Employees,Public,10,Ahmedabad
Aculife Healthcare,3.7,Pharma,1k-5k Employees,,10,Ahmedabad
Yazaki,3.9,Auto Components,10k-50k Employees,,83,Ahmedabad
MAS Financial Services,3.7,Financial Services,1k-5k Employees,Public,29,Ahmedabad
QX Global Group,3.4,IT Services & Consulting,1k-5k Employees,Public,21,Ahmedabad
Uplers,4.2,Internet,501-1k Employees,,12,Ahmedabad
Sapphire Software Solutions (India),4.5,IT Services & Consulting,51-200 Employees,,24,Ahmedabad
Vadilal Industries,4.1,FMCG,501-1k Employees,Public,117,Ahmedabad
NextComm Corporation,4.9,,1k-5k Employees,,7,Ahmedabad
Havmor Ice Cream,4.4,Food Processing,1k-5k Employees,,80,Ahmedabad
Sterlite Technologies,3.8,Hardware & Networking,1k-5k Employees,Public,36,Ahmedabad
Cliantha Research,4.0,Clinical Research,501-1k Employees,Public,20,Ahmedabad
M Square Media,4.6,Analytics & KPO,,,,Ahmedabad
Hidden Brains InfoTech,3.7,IT Services & Consulting,201-500 Employees,,21,Ahmedabad
Zydus Hospital,4.3,Healthcare,1k-5k Employees,Public,9,Ahmedabad
Tatvasoft,3.8,IT Services & Consulting,1k-5k Employees,,23,Ahmedabad
Egniol Services,3.9,,,,6,Ahmedabad
Yes Bank,3.9,Banking,10k-50k Employees,Public,20,Ahmedabad
Gtpl Hathway,4.1,Broadcasting,501-1k Employees,Public,18,Ahmedabad
Zydus Wellness,3.9,FMCG,501-1k Employees,Public,36,Ahmedabad
Kataria Automobiles,3.9,Automobile,201-500 Employees,,34,Ahmedabad
Adani Ports and SEZ,3.9,Ports & Shipping,1k-5k Employees,Public,26,Ahmedabad
Krishna Maruti,4.0,Auto Components,1k-5k Employees,,30,Ahmedabad
Crest Data Systems,3.5,IT Services & Consulting,501-1k Employees,,11,Ahmedabad
AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Ahmedabad
Corona Remedies,4.0,Pharma,1k-5k Employees,,20,Ahmedabad
Vestas,4.3,Power,1k-5k Employees,Forbes Global 2000,27,Ahmedabad
Jindal Worldwide,3.5,Fashion & Textile,1k-5k Employees,Public,38,Ahmedabad
CARS24,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Ahmedabad
DMart,4.0,Retail,10k-50k Employees,Fortune India 500,22,Ahmedabad
Amnex Infotechnologies,3.5,IT Services & Consulting,501-1k Employees,,16,Ahmedabad
Subros,4.0,Auto Components,1k-5k Employees,Public,39,Ahmedabad
QX,3.6,BPO,1k-5k Employees,,21,Ahmedabad
Claris Lifesciences Ahmedabad,3.1,Healthcare,1k-5k Employees,Public,25,Ahmedabad
Lincoln Pharmaceuticals,3.8,Pharma,1k-5k Employees,Public,45,Ahmedabad
Home Credit Finance,4.1,Financial Services,10k-50k Employees,,12,Ahmedabad
Dineshchandra R Agarwal Infracon,4.2,Engineering & Construction,1k-5k Employees,,52,Ahmedabad
JustDial,3.6,Internet,10k-50k Employees,Public,28,Ahmedabad
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,,27,Ahmedabad
Analytix Business Solutions,3.5,BPO,501-1k Employees,,18,Ahmedabad
L&T Construction,4.1,Engineering & Construction,5k-10k Employees,Public,80,Ahmedabad
OneClick IT Consultancy,4.7,IT Services & Consulting,51-200 Employees,,12,Ahmedabad
GVK Emergency Management and Research Institute,3.7,Non-Profit,10k-50k Employees,,19,Ahmedabad
Viatris,4.2,Pharma,10k-50k Employees,Forbes Global 2000,4,Ahmedabad
Concord Biotech,3.7,Pharma,501-1k Employees,Public,24,Ahmedabad
Sanghi Industries,3.7,Building Material,501-1k Employees,Public,39,Ahmedabad
Piramal Pharma,4.0,Pharma,1k-5k Employees,Public,36,Ahmedabad
Astral Adhesives,4.1,Chemicals,501-1k Employees,,37,Ahmedabad
Maxgen Technologies,4.5,IT Services & Consulting,201-500 Employees,,11,Ahmedabad
Health Care Global Enterprises,4.2,Healthcare,5k-10k Employees,Public,35,Ahmedabad
Meditab Software,3.2,Software Product,1k-5k Employees,,19,Ahmedabad
Microlink Solutions,3.9,IT Services & Consulting,201-500 Employees,,28,Ahmedabad
Montecarlo Construction,4.3,Engineering & Construction,1k-5k Employees,,29,Ahmedabad
Sadbhav Engineering,4.4,Engineering & Construction,1k-5k Employees,Public,36,Ahmedabad
Startek,3.3,BPO,10k-50k Employees,Public,7,Ahmedabad
e-Procurement Technologies,3.5,IT Services & Consulting,501-1k Employees,,18,Ahmedabad
Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18,Ahmedabad
Confiance BizSol Private Limited,3.6,Analytics & KPO,501-1k Employees,,7,Ahmedabad
Aia Engineering,4.2,Industrial Machinery,1k-5k Employees,Public,45,Ahmedabad
La-Gajjar Machineries,4.1,Electronics Manufacturing,51-200 Employees,,89,Ahmedabad
Hyperlink Infosystem,4.6,Software Product,1k-5k Employees,,13,Ahmedabad
Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Ahmedabad
Apcer Life Sciences,3.7,Clinical Research,51-200 Employees,,17,Ahmedabad
Simform,3.5,IT Services & Consulting,501-1k Employees,,14,Ahmedabad
CIMS Hospital,3.8,Healthcare,201-500 Employees,,14,Ahmedabad
Teleysia Networks,3.7,Telecom,201-500 Employees,,16,Ahmedabad
Wagh Bakri Tea Group,4.2,Beverage,1k-5k Employees,,109,Ahmedabad
Kunal Structure,3.8,Real Estate,201-500 Employees,,18,Ahmedabad
Monte Carlo,4.2,Fashion & Textile,201-500 Employees,Public,40,Ahmedabad
Asian Granito India,3.8,Building Material,1k-5k Employees,Public,24,Ahmedabad
Kogta Financial India Limited,4.8,NBFC,1k-5k Employees,Public,28,Ahmedabad
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,24,Ahmedabad
Bosch Rexroth India,4.0,Industrial Machinery,501-1k Employees,,23,Ahmedabad
Chiripal Industries,3.6,Fashion & Textile,1k-5k Employees,Public,52,Ahmedabad
IIFL Finance,4.0,NBFC,10k-50k Employees,Public,29,Ahmedabad
Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41,Ahmedabad
Piramal Group,4.0,Financial Services,10k-50k Employees,Fortune India 500,44,Ahmedabad
Vrinsoft Technology,4.7,IT Services & Consulting,11-50 Employees (Global),,15,Ahmedabad
Unison Pharmaceuticals,4.2,Pharma,501-1k Employees,,43,Ahmedabad
Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,16,Ahmedabad
Abellon Clean Energy,3.7,Other,501-1k Employees,Public,16,Ahmedabad
Gateway Group,2.8,IT Services & Consulting,501-1k Employees,,27,Ahmedabad
Bajaj Finance,4.1,NBFC,10k-50k Employees,,37,Ahmedabad
Fedora Solutions,3.5,IT Services & Consulting,501-1k Employees,,20,Ahmedabad
Media NV,4.8,,,,,Ahmedabad
Croma,4.0,Retail,5k-10k Employees,,18,Ahmedabad
Jay Chemical Industries,4.2,Chemicals,1k-5k Employees,,57,Ahmedabad
Adani Solar,4.0,Power,1k-5k Employees,Public,9,Ahmedabad
Indiamart Intermesh,3.6,Internet,5k-10k Employees,,28,Ahmedabad
Ingersoll Rand,4.3,Industrial Machinery,501-1k Employees,Public,52,Ahmedabad
Sintex Industries,4.1,Industrial Machinery,5k-10k Employees,Public,93,Ahmedabad
BrainerHub,4.6,Software Product,51-200 Employees,,3,Ahmedabad
Panamax Infotech,3.2,IT Services & Consulting,201-500 Employees,,23,Ahmedabad
Maxxis Rubber,3.6,Auto Components,51-200 Employees,,9,Ahmedabad
Adani Gas,3.5,Oil & Gas,501-1k Employees,Public,20,Ahmedabad
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24,Ahmedabad
Gtpl Broadband,3.9,Telecom,1k-5k Employees (Global),,18,Ahmedabad
Silver Touch Technologies,3.6,IT Services & Consulting,1k-5k Employees,Public,32,Ahmedabad
Udaan,4.0,,1k-5k Employees,Indian Unicorn,8,Ahmedabad
Indus Towers,4.0,Telecom,1k-5k Employees,Fortune India 500,17,Ahmedabad
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Ahmedabad
Flourish Pure Foods,1.8,Food Processing,51-200 Employees,,14,Ahmedabad
Sapphire Infocom,4.9,IT Services & Consulting,11-50 Employees,,30,Ahmedabad
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82,Ahmedabad
Sophos Technologies,3.8,Software Product,1k-5k Employees,,39,Ahmedabad
Dev Information Technology,3.9,IT Services & Consulting,501-1k Employees,Public,27,Ahmedabad
Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55,Ahmedabad
Motherson Automotive Technologies and Engineering,4.0,Auto Components,501-1k Employees,,27,Ahmedabad
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23,Ahmedabad
E2logy Software Solutions,4.4,IT Services & Consulting,51-200 Employees,,19,Ahmedabad
Doshion,2.3,Waste Management,1-10 Employees,,46,Ahmedabad
SGS,4.0,,1k-5k Employees,Forbes Global 2000,146,Ahmedabad
La Renon Healthcare,3.5,Pharma,501-1k Employees,,17,Ahmedabad
Apexon,3.4,IT Services & Consulting,1k-5k Employees,,28,Ahmedabad
Volansys Technologies,3.5,IT Services & Consulting,201-500 Employees,,16,Ahmedabad
Paytm,3.5,FinTech,10k-50k Employees,Public,14,Ahmedabad
Symphony,4.1,Consumer Electronics & Appliances,201-500 Employees,Public,36,Ahmedabad
West Coast Pharmaceuticals,3.5,Pharma,51-200 Employees,,59,Ahmedabad
Delhivery,4.0,Logistics,10k-50k Employees,Fortune India 500,13,Ahmedabad
Group Bayport,4.4,Printing & Publishing,1k-5k Employees,,12,Ahmedabad
Mehta Cad Cam Systems,3.8,Industrial Machinery,51-200 Employees,,35,Ahmedabad
Matter Motor Works,3.8,Automobile,501-1k Employees,,5,Ahmedabad
Ferromatik Milacron,3.7,Industrial Machinery,11-50 Employees,,140,Ahmedabad
Sterling Hospitals,4.0,Healthcare,1k-5k Employees,Public,23,Ahmedabad
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13,Ahmedabad
FCC Clutch,4.2,Auto Components,501-1k Employees,,85,Ahmedabad
Fincare Small Finance Bank,4.1,Banking,10k-50k Employees,,17,Ahmedabad
Flipkart,4.0,Internet,10k-50k Employees,Public,17,Ahmedabad
Deep Industries,3.5,Oil & Gas,1k-5k Employees,Public,33,Ahmedabad
PressureJet Systems,4.4,Industrial Machinery,51-200 Employees,,28,Ahmedabad
Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17,Ahmedabad
Jekson Vision,4.0,Industrial Machinery,201-500 Employees,,23,Ahmedabad
SOPAN,4.0,Industrial Machinery,1k-5k Employees,,23,Ahmedabad
Radixweb,3.0,IT Services & Consulting,501-1k Employees,,24,Ahmedabad
upGrad,3.8,EdTech,5k-10k Employees,Indian Unicorn,9,Ahmedabad
Baxter Pharmaceuticals,4.3,,,,,Ahmedabad
Max Life Insurance,4.2,Insurance,10k-50k Employees,,24,Ahmedabad
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Ahmedabad
Rysun Labs,3.4,IT Services & Consulting,201-500 Employees,,23,Ahmedabad
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41,Ahmedabad
Highly Electrical Appliances India,3.3,Electrical Equipment,51-200 Employees,,11,Ahmedabad
GSP Crop Science,4.0,Agro Chemicals,501-1k Employees,,39,Ahmedabad
Priya Softweb Solutions,4.0,IT Services & Consulting,201-500 Employees,,24,Ahmedabad
Line O Matic Graphic Industries,3.3,Pulp & Paper,201-500 Employees,,27,Ahmedabad
Komal Tex Fab,3.4,Fashion & Textile,51-200 Employees,,43,Ahmedabad
Quess,4.0,BPO,1k-5k Employees,Public,17,Ahmedabad
SPEC INDIA,4.6,IT Services & Consulting,201-500 Employees,,37,Ahmedabad
IndiaNIC Infotech,3.6,IT Services & Consulting,501-1k Employees,,27,Ahmedabad
Welspun Transformation Services Limited,4.1,IT Services & Consulting,5k-10k Employees,,,Ahmedabad
SATTRIX Information Security,3.3,IT Services & Consulting,51-200 Employees,,11,Ahmedabad
Zydus Hospira Oncology,4.5,,,,,Ahmedabad
Zydus Healthcare,4.0,,,,74,Ahmedabad
Commerce Pundit,3.6,IT Services & Consulting,11-50 Employees,,15,Ahmedabad
Meghmani Organics,3.9,Chemicals,501-1k Employees,Public,38,Ahmedabad
AIS Technolabs,4.4,,51-200 Employees (Global),,14,Ahmedabad
Bacancy Technology,4.0,IT Services & Consulting,501-1k Employees,,13,Ahmedabad
Voltas,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,70,Ahmedabad
Oil And Natural Gas Corporation,4.3,Oil & Gas,10k-50k Employees,Public,68,Ahmedabad
Scc Infrastructure,3.9,Engineering & Construction,51-200 Employees,,30,Ahmedabad
Tradebulls,3.2,Financial Services,11-50 Employees,,15,Ahmedabad
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11,Ahmedabad
OpenXcell Technolabs,4.0,IT Services & Consulting,201-500 Employees,,15,Ahmedabad
Kotak Securities,3.7,Financial Services,5k-10k Employees,Conglomerate,30,Ahmedabad
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Ahmedabad
Pratap Technocrats,4.0,Telecom,10k-50k Employees,,26,Ahmedabad
John Energy,4.1,Oil & Gas,1k-5k Employees,,37,Ahmedabad
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,43,Ahmedabad
Indian Space Research Organisation,4.5,Defence & Aerospace,10k-50k Employees,Public,55,Ahmedabad
Transformers & Rectifiers (India),4.2,Electrical Equipment,501-1k Employees,,30,Ahmedabad
Shaligram InfoTech,4.2,IT Services & Consulting,,,21,Ahmedabad
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,11,Ahmedabad
Constantia Flexibles,3.9,Packaging,501-1k Employees,,112,Ahmedabad
Incipient Info,4.7,IT Services & Consulting,11-50 Employees,,11,Ahmedabad
Mantra Softech,4.0,IT Services & Consulting,51-200 Employees,,18,Ahmedabad
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,38,Ahmedabad
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,159,Ahmedabad
Space-O Technologies,4.2,IT Services & Consulting,201-500 Employees,,14,Ahmedabad
U N Mehta Institute of Cardiology & Research Centre,4.1,Education & Training,51-200 Employees,,42,Ahmedabad
GATI-KWE,4.0,Logistics,1k-5k Employees,,12,Ahmedabad
TDS Lithium-Ion Battery,4.2,Electrical Equipment,501-1k Employees,,5,Ahmedabad
Azure Knowledge Corporation,3.8,Analytics & KPO,1k-5k Employees,,23,Ahmedabad
Nandan Denim,3.3,Fashion & Textile,1k-5k Employees,Public,30,Ahmedabad
Riddhi Steel and Tube,4.1,Iron & Steel,201-500 Employees,,,Ahmedabad
SVP Hospital,3.9,Government,1-10 Employees,,,Ahmedabad
Mott MacDonald,4.3,Management Consulting,1k-5k Employees,,35,Ahmedabad
Sundyota Numandis Pharmaceuticals,4.1,Pharma,51-200 Employees,,21,Ahmedabad
cFIRST,4.3,Recruitment,201-500 Employees,,18,Ahmedabad
Arvind Smartspaces,3.5,Real Estate,51-200 Employees,,,Ahmedabad
AddWeb Solution,4.5,IT Services & Consulting,11-50 Employees,,12,Ahmedabad
JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,25,Ahmedabad
Ratnamani Metals and Tubes,4.3,Iron & Steel,1k-5k Employees,Public,41,Ahmedabad
Biotech Vision Care,3.4,Healthcare,201-500 Employees,,25,Ahmedabad
Chiripal Group,3.6,,10k-50k Employees,,52,Ahmedabad
Tata Projects,4.3,Engineering & Construction,5k-10k Employees,Public,45,Ahmedabad
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Ahmedabad
MetroTelworks,3.6,Telecom,201-500 Employees,,20,Ahmedabad
Hyatt Regency,4.2,Hospitality,1k-5k Employees,Forbes Global 2000,44,Ahmedabad
Ascendum Solutions,3.6,BPO,51-200 Employees,,15,Ahmedabad
Torrent Gas,3.2,Oil & Gas,501-1k Employees,,65,Ahmedabad
Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35,Ahmedabad
DCB Bank,3.9,Banking,5k-10k Employees,Fortune India 500,94,Ahmedabad
Dainik Bhaskar Group,4.4,Printing & Publishing,5k-10k Employees,Public,66,Ahmedabad
SKH Y-TEC,4.1,Auto Components,1k-5k Employees,,11,Ahmedabad
Nivea,4.3,Beauty & Personal Care,501-1k Employees,,113,Ahmedabad
Multi Mantech International,2.5,Engineering & Construction,51-200 Employees,,33,Ahmedabad
Ramdev Food Products,4.2,Food Processing,501-1k Employees,,59,Ahmedabad
Anup Engineering,3.3,Fashion & Textile,51-200 Employees,Public,62,Ahmedabad
Corrtech International,3.8,Engineering & Construction,201-500 Employees,,42,Ahmedabad
Lubi Industries Llp,4.3,Industrial Machinery,1k-5k Employees,,59,Ahmedabad
Zydus Pfizer Oncology,4.4,Pharma,201-500 Employees,,,Ahmedabad
Indiabulls Home Loans,3.9,NBFC,5k-10k Employees,Public,19,Ahmedabad
Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,65,Ahmedabad
Macro Polymers,4.3,Chemicals,51-200 Employees,,62,Ahmedabad
ITC,4.0,FMCG,10k-50k Employees,Public,114,Ahmedabad
Solulab inc,3.8,IT Services & Consulting,51-200 Employees,,10,Ahmedabad
Inductotherm,4.2,Industrial Machinery,51-200 Employees,,71,Ahmedabad
Gujarat Ambuja Exports,3.7,Agro Chemicals,1k-5k Employees,Public,33,Ahmedabad
Finar,4.2,Chemicals,201-500 Employees,,26,Ahmedabad
Khimji Ramdas,4.0,Retail,1k-5k Employees,,154,Ahmedabad
Equitas Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,17,Ahmedabad
Ashima Group,3.6,Fashion & Textile,501-1k Employees,Public,42,Ahmedabad
Arvind Textile Mills,4.5,Fashion & Textile,10k-50k Employees (Global),,93,Ahmedabad
TUV SUD,4.0,Other,1k-5k Employees,,158,Ahmedabad
Healthark Insights,4.5,Management Consulting,51-200 Employees,,9,Ahmedabad
Crystal Voxx,3.4,Accounting & Auditing,51-200 Employees,,32,Ahmedabad
Bank of Baroda,3.6,Banking,50k-1 Lakh Employees,Fortune India 500,116,Ahmedabad
DTDC Express,3.8,Logistics,1k-5k Employees,,34,Ahmedabad
Rivigo,3.9,Internet,1k-5k Employees,Indian Unicorn,10,Ahmedabad
Azilen Technologies,3.2,IT Services & Consulting,201-500 Employees,,15,Ahmedabad
Sarjen Systems,4.0,IT Services & Consulting,51-200 Employees,,26,Ahmedabad
ICICI Securities,3.8,Financial Services,1k-5k Employees,Public,29,Ahmedabad
Gensol Engineering,4.3,Power,51-200 Employees,Public,17,Ahmedabad
Riviera Infraprojects,4.3,,501-1k Employees,,,Ahmedabad
Sayaji Industries,3.7,Agro Chemicals,1k-5k Employees,Public,83,Ahmedabad
Blue Dart Express,4.1,Logistics,10k-50k Employees,Public,41,Ahmedabad
Finecure Pharmaceuticals,3.7,Pharma,201-500 Employees,Public,19,Ahmedabad
Deloitte,3.9,Management Consulting,1 Lakh+ Employees,,179,Ahmedabad
Dharmadev Infrastructure,4.2,Engineering & Construction,51-200 Employees,,,Ahmedabad
Adani Transmission,3.9,Real Estate,501-1k Employees,Public,11,Ahmedabad
Shah Alloys,3.0,Iron & Steel,1k-5k Employees,Public,34,Ahmedabad
Cholamandalam Investment & Finance,4.1,NBFC,10k-50k Employees,Fortune India 500,46,Ahmedabad
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,7,Ahmedabad
Mangalam Information Technolgies,3.8,IT Services & Consulting,501-1k Employees,,24,Ahmedabad
Stelmec,3.5,Electronics Manufacturing,501-1k Employees,Public,40,Ahmedabad
infoAnalytica,3.3,Marketing & Advertising,51-200 Employees,,21,Ahmedabad
LCC Projects,4.2,,1k-5k Employees,,,Ahmedabad
Hi Tech Projects,4.4,Engineering & Construction,201-500 Employees,,28,Ahmedabad
LG Electronics,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,66,Ahmedabad
Suntara Cosmetics,3.8,Beauty & Personal Care,201-500 Employees,,21,Ahmedabad
Tatvic,3.0,Internet,51-200 Employees,,8,Ahmedabad
Matangi Industries,3.2,Chemicals,51-200 Employees,,30,Ahmedabad
Nestle,4.1,Food Processing,5k-10k Employees,Public,65,Ahmedabad
Taletel,5.0,Marketing & Advertising,11-50 Employees,,6,Ahmedabad
Satyesh Brinechem,3.1,Chemicals,51-200 Employees,,10,Ahmedabad
Cargo Motors,3.7,Automobile,1k-5k Employees,,65,Ahmedabad
SKF,4.0,Auto Components,1k-5k Employees,Public,101,Ahmedabad
IIM Ahmedabad,4.4,Education & Training,501-1k Employees,,63,Ahmedabad
Afcons Infrastructure,4.4,Engineering & Construction,5k-10k Employees,,65,Ahmedabad
Amanta Healthcare,4.3,Pharma,51-200 Employees,,26,Ahmedabad
Tata Capital,4.2,NBFC,5k-10k Employees,Fortune India 500,17,Ahmedabad
Iscon Balaji Foods,4.2,Food Processing,201-500 Employees,,12,Ahmedabad
Cera Sanitaryware,4.3,Building Material,1k-5k Employees,Public,44,Ahmedabad
Osia Hypermart,3.3,Retail,51-200 Employees,Public,10,Ahmedabad
Evolutionary Systems,3.6,IT Services & Consulting,51-200 Employees,,18,Ahmedabad
Windsor Machines,3.7,Industrial Machinery,501-1k Employees,Public,61,Ahmedabad
Oswal Infrastructure,3.6,Real Estate,,,12,Ahmedabad
Vistaprint,3.7,Internet,1k-5k Employees,Startup,12,Ahmedabad
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23,Ahmedabad
Manappuram Finance,4.0,NBFC,10k-50k Employees,Public,75,Ahmedabad
Piramal Capital Housing Finance,4.3,NBFC,1k-5k Employees,,4,Ahmedabad
Kunvarji Group,4.4,Financial Services,201-500 Employees,,38,Ahmedabad
Macons Equipments,4.3,Engineering & Construction,51-200 Employees,,24,Ahmedabad
Saga Laboratories,3.1,Pharma,11-50 Employees,,43,Ahmedabad
Sterling Accuris Wellness,4.2,Healthcare,501-1k Employees,,10,Ahmedabad
Tata AIG,4.1,Insurance,5k-10k Employees,,24,Ahmedabad
Pandit Ventures,4.2,Software Product,51-200 Employees,,21,Ahmedabad
Y-Axis Overseas Careers,3.5,Other,1k-5k Employees,,25,Ahmedabad
Rasna,3.8,Food Processing,201-500 Employees,,48,Ahmedabad
Truetzschler India,4.2,Industrial Machinery,11-50 Employees,,136,Ahmedabad
State Bank of India,3.9,Banking,1 Lakh+ Employees,Fortune India 500,218,Ahmedabad
